;ncmarket;cassava;cereals;cotton;fruits;maize;oilseeds;pulses;rice;roots;stimulants;sugarcane;tobacco;vegetable
2010;CmAngola;250;31;0;21;32;1;5;3;40;0;12;0;15
2010;CmBotswana;0;1;0;1;1;0;0;0;1;0;0;0;1
2010;CmMalawi;2602;202;2;1136;2569;194;335;73;2309;4;2414;14;381
2010;CmMozambique;1707;180;7;108;364;17;32;95;278;5;1207;22;41
2010;CmNamibia;0;15;0;4;8;0;1;1;22;0;0;0;3
2010;CmTanzania;176;55;2;147;134;10;34;33;78;0;82;2;44
2010;CmZambia;809;221;1;111;1155;50;30;28;82;2;1827;8;251
2010;CmZimbabwe;132;330;19;122;1062;131;50;17;29;9;2534;23;127
2010;WorldMarket;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
2030;CmAngola;252;57;0;35;54;2;8;6;69;0;19;1;26
2030;CmBotswana;0;2;0;1;1;0;0;0;2;0;0;0;1
2030;CmMalawi;3433;490;4;2386;4710;349;636;181;4204;7;3890;25;728
2030;CmMozambique;2509;374;12;211;652;27;57;231;450;8;1975;34;68
2030;CmNamibia;0;23;0;7;12;0;2;1;27;0;0;1;5
2030;CmTanzania;258;106;3;290;260;17;65;80;160;1;133;4;82
2030;CmZambia;1306;600;1;225;2206;88;57;70;155;3;2890;14;457
2030;CmZimbabwe;148;584;23;151;1319;160;60;27;43;11;4268;26;150
2030;WorldMarket;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
2050;CmAngola;278;78;0;48;71;3;11;8;89;0;23;1;34
2050;CmBotswana;0;2;0;2;1;0;0;1;2;0;0;0;1
2050;CmMalawi;4474;1295;8;4804;7682;613;1174;409;6975;13;5026;43;1181
2050;CmMozambique;3142;610;19;357;953;36;90;427;592;12;2436;48;87
2050;CmNamibia;0;33;0;10;15;0;2;1;31;0;0;1;6
2050;CmTanzania;332;179;6;490;430;26;110;148;273;1;157;6;123
2050;CmZambia;1949;1441;2;408;3510;138;100;144;242;5;3562;22;669
2050;CmZimbabwe;141;1376;30;196;1665;187;80;45;61;13;5230;29;162
2050;WorldMarket;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
