;ncountry;cassava;cereals;cotton;fruits;maize;oilseeds;pulses;rice;roots;stimulants;sugarcane;tobacco;vegetable
2010;Angola;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0;11037,0
2010;Botswana;0,0;6754,0;6754,0;6754,0;6754,0;6754,0;6754,0;6754,0;6754,0;6754,0;0,0;6754,0;6754,0
2010;Malawi;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0;15764,0
2010;Mozambique;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0;13117,0
2010;Namibia;8345,0;8345,0;8345,0;8345,0;8345,0;8345,0;8345,0;8345,0;8345,0;8345,0;0,0;8345,0;8345,0
2010;Tanzania;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0;16495,0
2010;Zambia;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0;12678,0
2010;Zimbabwe;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0;15378,0
2030;Angola;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0;13038,0
2030;Botswana;0,0;8069,0;8069,0;8069,0;8069,0;8069,0;8069,0;8069,0;8069,0;8069,0;0,0;8069,0;8069,0
2030;Malawi;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0;18705,0
2030;Mozambique;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0;15385,0
2030;Namibia;9980,0;9980,0;9980,0;9980,0;9980,0;9980,0;9980,0;9980,0;9980,0;9980,0;0,0;9980,0;9980,0
2030;Tanzania;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0;19464,0
2030;Zambia;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0;15003,0
2030;Zimbabwe;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0;18065,0
2050;Angola;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0;13167,0
2050;Botswana;0,0;8103,0;8103,0;8103,0;8103,0;8103,0;8103,0;8103,0;8103,0;8103,0;0,0;8103,0;8103,0
2050;Malawi;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0;18773,0
2050;Mozambique;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0;15518,0
2050;Namibia;10003,0;10003,0;10003,0;10003,0;10003,0;10003,0;10003,0;10003,0;10003,0;10003,0;0,0;10003,0;10003,0
2050;Tanzania;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0;19782,0
2050;Zambia;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0;15117,0
2050;Zimbabwe;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0;18250,0
